B,trial,sequence,prompt_index,generated_tokens,wall_time_s
32,6,24,84,96,4.0886442969999734
32,6,25,85,96,4.0886442969999734
32,6,26,86,96,4.0886442969999734
32,6,27,87,96,4.0886442969999734
32,6,28,88,96,4.0886442969999734
32,6,29,89,96,4.0886442969999734
32,6,30,90,96,4.0886442969999734
32,6,31,91,96,4.0886442969999734
32,7,0,92,96,4.042136739000171
32,7,1,93,96,4.042136739000171
32,7,2,94,96,4.042136739000171
32,7,3,95,96,4.042136739000171
32,7,4,96,96,4.042136739000171
32,7,5,97,96,4.042136739000171
32,7,6,98,96,4.042136739000171
32,7,7,99,96,4.042136739000171
32,7,8,0,87,4.042136739000171
32,7,9,1,96,4.042136739000171
32,7,10,2,96,4.042136739000171
32,7,11,3,96,4.042136739000171
32,7,12,4,96,4.042136739000171
32,7,13,5,96,4.042136739000171
32,7,14,6,96,4.042136739000171
32,7,15,7,96,4.042136739000171
32,7,16,8,96,4.042136739000171
32,7,17,9,96,4.042136739000171
32,7,18,10,96,4.042136739000171
32,7,19,11,96,4.042136739000171
32,7,20,12,96,4.042136739000171
32,7,21,13,96,4.042136739000171
32,7,22,14,96,4.042136739000171
